时间(s)	Roll(°)	Pitch(°)	Yaw(°)	Servo1	Servo2	Servo3	Servo4
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
19	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.67	1100	1100	1100	1100
20	0.19	0.20	-65.66	1100	1100	1100	1100
20	0.19	0.20	-65.66	1100	1100	1100	1100
20	0.19	0.20	-65.66	1100	1100	1100	1100
20	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.19	0.20	-65.66	1100	1100	1100	1100
21	0.20	0.20	-65.68	1100	1100	1100	1100
21	0.20	0.20	-65.68	1100	1100	1100	1100
21	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.20	-65.68	1100	1100	1100	1100
22	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
23	0.20	0.19	-65.68	1100	1100	1100	1100
24	0.20	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
24	0.19	0.19	-65.68	1100	1100	1100	1100
25	0.19	0.19	-65.68	1100	1100	1100	1100
25	0.19	0.19	-65.68	1100	1100	1100	1100
25	0.19	0.19	-65.68	1100	1100	1100	1100
25	0.19	0.19	-65.68	1100	1100	1100	1100
25	0.19	0.19	-65.69	1100	1100	1100	1100
25	0.19	0.19	-65.69	1100	1100	1100	1100
25	0.19	0.19	-65.69	1100	1100	1100	1100
25	0.19	0.19	-65.69	1100	1100	1100	1100
25	0.19	0.19	-65.69	1100	1100	1100	1100
25	0.19	0.19	-65.69	1100	1100	1100	1100
26	0.19	0.19	-65.69	1100	1100	1100	1100
26	0.19	0.19	-65.69	1100	1100	1100	1100
26	0.19	0.19	-65.69	1100	1100	1100	1100
26	0.19	0.19	-65.69	1100	1100	1100	1100
26	0.19	0.19	-65.69	1100	1100	1100	1100
26	0.19	0.18	-65.68	1100	1100	1100	1100
26	0.19	0.18	-65.68	1100	1100	1100	1100
26	0.19	0.18	-65.68	1100	1100	1100	1100
26	0.19	0.18	-65.68	1100	1100	1100	1100
26	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	0.19	0.18	-65.68	1100	1100	1100	1100
27	-7.19	-7.58	75.05	1100	1100	1100	1100
27	-7.19	-7.58	75.05	1100	1100	1100	1100
27	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	-7.19	-7.58	75.05	1100	1100	1100	1100
28	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
29	0.73	-12.04	122.45	1100	1100	1100	1100
30	1.04	1.40	155.74	1100	1100	1100	1100
